variant,run_type,run_num,cpu_time,wall_time,values,thunks,sets_bytes,gc_time,gc_fraction,nrAvoided,nrLookups
slim,cold,1,4.891154766082764,5.67,11185705,7058367,342470472,0.027,0.005520168813145899,6844617,2261829
slim,warm,1,4.899154186248779,5.42,11185705,7058367,342470472,0.027,0.005511155390002852,6844617,2261829
slim,warm,2,4.932130813598633,6.29,11185595,7058301,342466528,0.027,0.005474307357290059,6844536,2261736
slim,warm,3,4.780756950378418,5.99,11185559,7058268,342465808,0.027,0.005647641216703734,6844517,2261733
